AccountTypeDescription,ProcessDate,Description,CashDesc,Amount,CurrencyCode
Margin - Long,3/6/2008,CIBC DIR DEP,,1600.00,CAD
Margin - Long,3/28/2008,3BGXY8E CUCBC DIR DEP,,3400.00,CAD
Margin - Long,5/12/2008,3BGXY8E CIBC DIR DEP,,2500.00,CAD
Margin - Long,5/14/2008,CONV USD/CAD,,-1041.71,CAD
Margin - Long,5/14/2008,CONV USD/CAD,,1025.00,USD
Margin - Long,5/15/2008,CONV USD/CAD,,-842.37,CAD
Margin - Long,5/15/2008,CONV USD/CAD,,830.00,USD
Margin - Long,5/20/2008,GMP CAPITAL TRUST     T/U 362017105 GMP.UN,,14.00,CAD
Margin - Long,5/29/2008,BANK OF MONTREAL 063671101 BMO,,17.50,CAD
Margin - Long,6/19/2008,MAY MAIL CONFIRM FEE,,-1.00,CAD
Margin - Long,6/19/2008,MAY MAIL CONFIRM GST,,-0.05,CAD
Margin - Long,6/20/2008,GMP CAPITAL TRUST     T/U 362017105 GMP.UN,,14.00,CAD
Margin - Long,6/30/2008,CANADIAN NATIONAL RAILWAY 136375102 CNR,,5.75,CAD
Margin - Long,7/18/2008,GMP CAPITAL TRUST     T/U 362017105 GMP.UN,,14.00,CAD
Margin - Long,8/20/2008,GMP CAPITAL TRUST     T/U 362017105 GMP.UN,,14.00,CAD
Margin - Long,8/28/2008,BANK OF MONTREAL 063671101 BMO,,17.50,CAD
Margin - Long,8/28/2008,CONVERSION - CAD/USD,,-1395.75,CAD
Margin - Long,8/28/2008,CONVERSION - CAD/USD,,1309.95,USD
